city,state,lat,lng
* cidade,PR,-25.57174841548848,-49.33437407992388
...arraial do cabo,RJ,-22.969370031652065,-42.02983437523808
4o. centenario,PR,-24.2718596772122,-53.0694333134515
4º centenario,PR,-24.279800992315977,-53.07472322654436
abadia de goias,GO,-16.76706286540188,-49.438089420466014
abadia dos dourados,MG,-18.474476487136112,-47.4078365252738
abadiania,GO,-16.19381961165601,-48.70844192109156
abadiânia,GO,-16.193554941919746,-48.71214266034082
abaete,MG,-19.15854932136434,-45.44627527095028
abaetetuba,PA,-1.7230241817101852,-48.88106537387817
abaeté,MG,-19.15638951920697,-45.44643294595805
abaiara,CE,-7.358247021378397,-39.04581684412134
abaira,BA,-13.250394953318787,-41.66353606594831
abare,BA,-8.689967452179038,-39.16414406899501
abaré,BA,-8.723652728356718,-39.11459425901205
abatia,PR,-23.304513187420707,-50.31116611469426
abatiá,PR,-23.30473194502101,-50.30671144373594
abaíra,BA,-13.251101562812092,-41.66465955798664
abdon batista,SC,-27.608818306014133,-51.02488531826943
abel figueiredo,PA,-4.9539013311341975,-48.39812266389258
abelardo luz,SC,-26.565375356044346,-52.32532803924757
abrantes,BA,-12.83017402246026,-38.26510695136311
abre campo,MG,-20.297406091839964,-42.47567909579939
abreu e lima,PE,-7.911567810572414,-34.91298599014977
abreulândia,TO,-9.622442657403376,-49.149720300911845
abreus,MG,-18.97774637560997,-48.26923798459092
acaiaca,MG,-20.36291378049634,-43.14402222191236
acailandia,MA,-4.944747265765335,-47.48256492492615
acajutiba,BA,-11.663495576693935,-38.023852706144226
acara,PA,-1.95913141173418,-48.196307061033416
acarape,CE,-4.224106437897478,-38.70598562793475
acarau,CE,-2.8903818750514922,-40.113084822473105
acaraú,CE,-2.8882738147063645,-40.07931114644638
acari,RN,-6.436124915575116,-36.640335529330684
acará,PA,-1.960475172264062,-48.19888368109973
acaua,PI,-8.21782599334695,-41.0820652414531
acauã,PI,-8.221232314232498,-41.07740644501662
acegua,RS,-31.774987418302466,-54.15690689012052
aceguá,RS,-31.7245094621224,-54.11720555627117
acioli,ES,-19.655909222582128,-40.46336507540551
acopiara,CE,-6.094117746073023,-39.44897848740864
acorizal,MT,-15.199589388505151,-56.36694095815544
acrelandia,AC,-10.05360609871141,-67.0321262765574
acrelândia,AC,-10.076679176010265,-67.05356437120881
acreuna,GO,-17.39807627005333,-50.3725163925381
acreúna,GO,-17.40016794210632,-50.376586471645616
acu,RN,-5.5782561625611145,-36.91491532275635
acucena,MG,-19.129221349636005,-42.64363789453825
acupe,BA,-12.661775303973426,-38.751328908632885
adamantina,SP,-21.6957428787417,-51.04636183397665
adao colares,MG,-0.9331793302279578,-48.2798854881097
adelandia,GO,-16.416262953362153,-50.167602152545605
adhemar de barros,PR,-22.69031468157406,-52.73463407849236
adolfo,SP,-21.234456456293216,-49.64271564526813
adrianopolis,PR,-24.668314396331997,-48.97598733352184
adrianópolis,PR,-24.659640543997213,-48.99171509845514
adustina,BA,-10.536616901316743,-38.11492053385937
afogados da ingazeira,PE,-7.759829833939791,-37.560205074371495
afonso arinos,RJ,-22.01222443747746,-43.33712310426437
afonso bezerra,RN,-5.495639317772121,-36.53499953473234
afonso claudio,ES,-20.075987175514054,-41.12398801850307
afonso cláudio,ES,-20.082490603465917,-41.12193874559757
afonso cunha,MA,-4.131088397083896,-43.32399745717131
afranio,PE,-8.532137464656772,-41.025149765576884
afrânio,PE,-8.515681257243429,-41.00847132643635
afua,PA,-0.156769821546983,-50.39281388731495
afuá,PA,-0.15869544987536438,-50.389617235803755
agisse,SP,-23.537328737497397,-48.54493393688767
agrestina,PE,-8.45504693653698,-35.94651434518298
agricolandia,PI,-5.79671499841993,-42.66518295491898
agricolândia,PI,-5.799059562491884,-42.66179726557431
agrolandia,SC,-27.407760672796563,-49.82991378792887
agrolândia,SC,-27.411103305359138,-49.83103964849232
agronomica,SC,-27.268238165766785,-49.713448801834254
agronômica,SC,-27.269075169963724,-49.70950363604792
agua azul do norte,PA,-6.804580607109001,-50.48391969202447
agua boa,MG,-17.983584833880307,-42.39164101018776
agua boa,MT,-14.062779693881483,-52.20602230549147
agua branca,AL,-9.262055423096342,-37.9351265832074
agua branca,PB,-7.515419976964854,-37.64009858240075
agua branca,PI,-5.892044614430678,-42.63373817214237
agua branca de minas,MG,-16.192079815993335,-41.72616772679282
agua clara,MS,-20.44129869474028,-52.87690731857362
agua comprida,MG,-20.05738309692623,-48.10875095126893
agua doce,SC,-26.997539482686065,-51.55508230054839
agua doce do maranhao,MA,-2.8783590341287977,-42.13425890269593
agua doce do norte,ES,-18.541736433301377,-40.9840576876171
agua fria,BA,-11.831734131665996,-38.75602759065029
agua fria de goias,GO,-14.972415223806218,-47.78532009005647
agua limpa,GO,-18.076322394559124,-48.76160432422692
agua nova,RN,-6.205206243591784,-38.291460507110884
agua preta,PE,-8.70575416352258,-35.51654982122744
agua santa,RS,-28.183372036296035,-52.03985047911124
agua vermelha,SP,-21.893562,-47.89098450000001
aguai,SP,-22.057066284995376,-46.97618165238234
aguanil,MG,-20.94218324682893,-45.38743214882451
aguas belas,PE,-9.107676114006257,-37.116796596556135
aguas claras,RS,-28.00030351378292,-49.17546213298624
aguas da prata,SP,-21.939687492514494,-46.713331769849546
aguas de chapeco,SC,-27.074925605515592,-52.98524818513099
